Script,Languages
Bengali,"Bengali, Assamese, Manipuri"
Devanagari,"Hindi, Marathi, Sanskrit, Nepali, Konkani, Kashmiri, Sindhi"
Gujarati,Gujarati
Gurumukhi,Punjabi
Kannada,"Kannada, Konkani, Tulu, Kodava"
Malayalam,Malayalam
Oriya,Oriya
Tamil,Tamil
Telugu,Telugu
